,zespol,slupek,nazwa_zespolu,szer_geo,dlug_geo,late,all
0,1001,01,Kijowska,52.248455,21.044827,0,18
1,1001,02,Kijowska,52.249078,21.044443,2,8
2,1001,03,Kijowska,52.248928,21.044169,0,0
3,1001,04,Kijowska,52.249969,21.041588,0,0
4,1001,05,Kijowska,52.250319,21.043861,0,0
5,1001,06,Kijowska,52.250078,21.043848,0,0
6,1001,07,Kijowska,52.250228,21.043690,0,8
7,1001,08,Kijowska,52.249944,21.044087,1,8
8,1001,88,Kijowska,52.249944,21.044087,0,0
9,1002,01,Ząbkowska,52.251325,21.038457,1,7
10,1002,02,Ząbkowska,52.251790,21.038592,2,8
11,1002,03,Ząbkowska,52.251583,21.038448,0,0
12,1002,04,Ząbkowska,52.251944,21.037888,0,0
13,1002,06,Ząbkowska,52.253108,21.036732,1,7
14,1003,01,Dw.Wileński,52.253739,21.035454,1,20
15,1003,02,Dw.Wileński,52.255298,21.034611,2,7
16,1003,03,Dw.Wileński,52.254118,21.033248,0,0
17,1003,04,Dw.Wileński,52.255099,21.036174,1,13
18,1003,05,Dw.Wileński,52.254287,21.033324,0,4
19,1003,06,Dw.Wileński,52.256048,21.038309,0,0
20,1003,07,Dw.Wileński,52.253857,21.035613,0,0
21,1003,08,Dw.Wileński,52.255370,21.034193,0,0
22,1003,09,Dw.Wileński,52.255999,21.035241,0,0
23,1003,10,Dw.Wileński,52.255856,21.035227,0,0
24,1003,12,Dw.Wileński,52.255985,21.035521,0,0
25,1003,14,Dw.Wileński,52.256246,21.036138,0,0
26,1004,01,Ratuszowa-ZOO,52.256614,21.028536,0,0
27,1004,02,Ratuszowa-ZOO,52.257011,21.028103,0,0
28,1004,03,Ratuszowa-ZOO,52.255617,21.030154,0,0
29,1005,01,pl.Hallera,52.258094,21.027097,0,0
30,1005,02,pl.Hallera,52.260034,21.024845,0,0
31,1005,03,pl.Hallera,52.259193,21.025233,0,0
32,1005,04,pl.Hallera,52.259014,21.025523,0,0
33,1005,05,pl.Hallera,52.259699,21.025992,0,2
34,1005,06,pl.Hallera,52.259900,21.028465,0,5
35,1005,07,pl.Hallera,52.261451,21.029709,2,10
36,1005,08,pl.Hallera,52.260974,21.030804,0,13
37,1005,09,pl.Hallera,52.259662,21.027361,0,3
38,1005,10,pl.Hallera,52.259771,21.027364,0,0
39,1005,11,pl.Hallera,52.259600,21.027130,0,4
40,1005,18,pl.Hallera,52.259927,21.027177,0,5
41,1006,01,rondo Starzyńskiego,52.263615,21.019547,0,3
42,1006,02,rondo Starzyńskiego,52.263264,21.020062,0,4
43,1006,03,rondo Starzyńskiego,52.263453,21.019762,0,0
44,1006,04,rondo Starzyńskiego,52.263465,21.020062,0,0
45,1006,05,rondo Starzyńskiego,52.262662,21.021315,0,0
46,1006,06,rondo Starzyńskiego,52.263170,21.021048,0,0
47,1006,07,rondo Starzyńskiego,52.264116,21.022528,0,0
48,1006,08,rondo Starzyńskiego,52.264224,21.022909,0,0
49,1006,09,rondo Starzyńskiego,52.262572,21.021846,0,6
50,1006,10,rondo Starzyńskiego,52.262745,21.022003,1,5
51,1006,12,rondo Starzyńskiego,52.264087,21.023168,0,0
52,1007,01,Golędzinów,52.266656,21.020014,0,0
53,1007,02,Golędzinów,52.266819,21.020003,0,0
54,1007,03,Golędzinów,52.266739,21.020309,0,4
55,1007,04,Golędzinów,52.266724,21.020689,1,3
56,1008,01,PIMot,52.269904,21.017729,0,4
57,1008,02,PIMot,52.270821,21.017146,1,4
58,1008,03,PIMot,52.270517,21.016711,0,0
59,1008,04,PIMot,52.270007,21.017369,0,0
60,1009,01,Batalionu Platerówek,52.273735,21.014418,0,0
61,1009,02,Batalionu Platerówek,52.273851,21.014401,0,0
62,1010,01,Śliwice,52.278146,21.011972,0,4
63,1010,02,Śliwice,52.278418,21.012260,1,4
64,1010,03,Śliwice,52.278018,21.011818,0,0
65,1010,04,Śliwice,52.278304,21.011682,0,0
66,1011,01,Budzińskiej-Tylickiej,52.282073,21.009617,0,0
67,1011,02,Budzińskiej-Tylickiej,52.281939,21.010061,0,0
68,1011,03,Budzińskiej-Tylickiej,52.281954,21.009401,0,0
69,1011,04,Budzińskiej-Tylickiej,52.282102,21.009361,0,0
70,1012,01,Dyrekcja FSO,52.286644,21.006507,0,0
71,1012,02,Dyrekcja FSO,52.286790,21.006862,0,0
72,1012,03,Dyrekcja FSO,52.287093,21.005765,0,0
73,1012,04,Dyrekcja FSO,52.286796,21.006136,0,0
74,1013,01,Żerań FSO,52.289797,21.003259,0,3
75,1013,02,Żerań FSO,52.293770,20.999712,3,13
76,1013,03,Żerań FSO,52.290679,21.002777,3,12
77,1013,04,Żerań FSO,52.290331,21.003379,1,12
